              Formatid                                                                         Magics                                                                                                                                                                                    Magic Names                                                                                                                               
document/lotusWordPro                     , "fmt/340"                                                                                                           [Lotus WordPro Document (97/Millennium)]                                                                                                                                                                                                                           
document/lotus123                         , "x-fmt/114", "x-fmt/115", "x-fmt/116", "x-fmt/117", "fmt/1453"                                                      [Lotus 1-2-3 Worksheet (2.0)] [Lotus 1-2-3 Worksheet (3.0)] [Lotus 1-2-3 Worksheet (4-5)] [Lotus 1-2-3 Worksheet (1.0)] [Lotus 1-2-3 Worksheet (9.8 Millennium)]                                                                                                   
document/latex                            , "fmt/281"                                                                                                           [LaTeX (Subdocument)]                                                                                                                                                                                                                                              
document/installShieldCompiledScript      , "fmt/197"                                                                                                           [InstallShield Compiled Rules File]                                                                                                                                                                                                                                
document/hyperBook                        , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
document/hlp                              , "fmt/474"                                                                                                           [Windows Help File]                                                                                                                                                                                                                                                
document/hancomWord                       , "fmt/1084"                                                                                                          [Hangul Word Processor Document (5)]                                                                                                                                                                                                                               
document/gnuInfo                          , "fmt/212"                                                                                                           [Information or Setup File]                                                                                                                                                                                                                                        
document/frameworkDocument                , "x-fmt/322", "fmt/1568"                                                                                             [Framework Database (III)] [ISDOCX Information System Document (Generic) (5.x)]                                                                                                                                                                                    
document/frameMaker                       , "fmt/533", "fmt/534", "fmt/535"                                                                                     [Adobe FrameMaker Document (2.0)] [Adobe FrameMaker Document (3.0)] [Adobe FrameMaker Document (4.0)]                                                                                                                                                              
document/firstChoiceDatabase              , "fmt/1284"                                                                                                          [PFS:First Choice Database]                                                                                                                                                                                                                                        
document/firstChoice                      , "fmt/1282"                                                                                                          [PFS:First Choice Document (1-2)]                                                                                                                                                                                                                                  
document/fileMakerPro                     , "x-fmt/318"                                                                                                         [FileMaker Pro Database (3)]                                                                                                                                                                                                                                       
document/fictionBook                      , "fmt/101"                                                                                                           [Extensible Markup Language (1.0)]                                                                                                                                                                                                                                 
document/epub                             , "fmt/483"                                                                                                           [ePub format]                                                                                                                                                                                                                                                      
document/envoy                            , "fmt/1286"                                                                                                          [Envoy Document File (1)]                                                                                                                                                                                                                                          
document/docx                             , "fmt/412", "fmt/523", "fmt/597"                                                                                     [Microsoft Word for Windows (2007 onwards)] [Macro enabled Microsoft Word Document OOXML (2007 Onwards)] [Microsoft Word Template (2007 onwards)]                                                                                                                  
document/docBook                          , "fmt/101"                                                                                                           [Extensible Markup Language (1.0)]                                                                                                                                                                                                                                 
document/djvu                             , "fmt/255"                                                                                                           [DjVu File Format]                                                                                                                                                                                                                                                 
document/deviceIndependentFile            , "fmt/160"                                                                                                           [TeX/LaTeX Device Independent Document]                                                                                                                                                                                                                            
document/dbf                              , "x-fmt/9", "fmt/373", "fmt/376"                                                                                     [dBASE Database (III)] [FoxPro Database (2.x)] [FoxPro Report]                                                                                                                                                                                                     
document/clarisWorks                      , "fmt/743", "fmt/744", "fmt/748", "fmt/749"                                                                          [ClarisWorks/AppleWorks Drawing (5)] [ClarisWorks/AppleWorks Word Processor (5)] [AppleWorks Drawing (6)] [AppleWorks Word Processor (6)]                                                                                                                          
document/chm                              , "fmt/634"                                                                                                           [Microsoft Compiled HTML Help]                                                                                                                                                                                                                                     
document/cardfile                         , "fmt/1254"                                                                                                          [Cardfile]                                                                                                                                                                                                                                                         
document/cambridgeZ88Basic                , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
document/broadBandEBook                   , "fmt/518"                                                                                                           [Broad Band eBook (LRF)]                                                                                                                                                                                                                                           
document/amigaBASIC                       , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
document/amazonKindleBook                 , "fmt/396"                                                                                                           [PocketMobi (Palm Resource) File]                                                                                                                                                                                                                                  
audio/yamahaSMAF                          , "fmt/1178"                                                                                                          [Synthetic Music Mobile Application Format]                                                                                                                                                                                                                        
audio/wma                                 , "fmt/132"                                                                                                           [Windows Media Audio]                                                                                                                                                                                                                                              
audio/wav                                 , "fmt/141", "fmt/142"                                                                                                [Waveform Audio (PCMWAVEFORMAT)] [Waveform Audio (WAVEFORMATEX)]                                                                                                                                                                                                   
audio/voc                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
audio/siff                                , "fmt/1559"                                                                                                          [Beam Software SIFF File]                                                                                                                                                                                                                                          
audio/shockWaveAudio                      , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
audio/realAudio                           , "x-fmt/190", "x-fmt/278", "fmt/404"                                                                                 [RealMedia] [RealAudio (3)] [RealAudio (4)]                                                                                                                                                                                                                        
audio/quickTimeAudio                      , "x-fmt/384"                                                                                                         [Quicktime]                                                                                                                                                                                                                                                        
audio/qualcommPurevoice                   , "fmt/962"                                                                                                           [QCP Audio File Format]                                                                                                                                                                                                                                            
audio/psf2                                , "fmt/959"                                                                                                           [Portable Sound Format]                                                                                                                                                                                                                                            
audio/psf                                 , "fmt/959"                                                                                                           [Portable Sound Format]                                                                                                                                                                                                                                            
audio/prolineVoice                        , "x-fmt/180"                                                                                                         [Instalit Script]                                                                                                                                                                                                                                                  
audio/opus                                , "fmt/946"                                                                                                           [Ogg Opus Codec Compressed Multimedia File]                                                                                                                                                                                                                        
audio/photoCDAudio                        , "fmt/473"                                                                                                           [Microsoft Office Owner File]                                                                                                                                                                                                                                      
audio/ogg                                 , "fmt/203"                                                                                                           [Ogg Vorbis Codec Compressed Multimedia File]                                                                                                                                                                                                                      
audio/mp3                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
audio/mp2                                 , "fmt/134", "fmt/198"                                                                                                [MPEG 1/2 Audio Layer 3] [MPEG Audio Stream, Layer II]                                                                                                                                                                                                             
audio/monkeysAudio                        , "fmt/1086"                                                                                                          [Monkey's Audio File]                                                                                                                                                                                                                                              
audio/mka                                 , "fmt/569"                                                                                                           [Matroska (1-4)]                                                                                                                                                                                                                                                   
audio/gusPatch                            , "x-fmt/76"                                                                                                          [CorelDraw Pattern]                                                                                                                                                                                                                                                
audio/flac                                , "fmt/279"                                                                                                           [FLAC (Free Lossless Audio Codec) (1.2.1)]                                                                                                                                                                                                                         
audio/eaASF                               , "x-fmt/137", "x-fmt/362"                                                                                            [Electronic Arts Music] [StratGraphics Data File]                                                                                                                                                                                                                  
audio/downloadableSoundBank               , "fmt/955"                                                                                                           [Downloadable Sounds Audio]                                                                                                                                                                                                                                        
audio/coreAudio                           , "fmt/416"                                                                                                           [Apple Core Audio Format (1.0)]                                                                                                                                                                                                                                    
audio/au                                  , "x-fmt/139"                                                                                                         [NeXT/Sun sound]                                                                                                                                                                                                                                                   
audio/amr                                 , "fmt/356"                                                                                                           [Adaptive Multi-Rate Audio]                                                                                                                                                                                                                                        
audio/amiga8svx                           , "fmt/339"                                                                                                           [Interchange File Format 8-bit Sampled Voice]                                                                                                                                                                                                                      
audio/aif                                 , "fmt/414"                                                                                                           [Audio Interchange File Format (1.2)]                                                                                                                                                                                                                              
audio/aac                                 , "fmt/199"                                                                                                           [MPEG-4 Media File]                                                                                                                                                                                                                                                
archive/zxSpectrumTape                    , "fmt/801"                                                                                                           [TAP (ZX Spectrum)]                                                                                                                                                                                                                                                
archive/zpaq                              , "fmt/1097"                                                                                                          [ZPAQ Archive Format]                                                                                                                                                                                                                                              
archive/zoo                               , "x-fmt/269"                                                                                                         [ZOO Compressed Archive]                                                                                                                                                                                                                                           
archive/zip                               , "x-fmt/263", "x-fmt/410"                                                                                            [ZIP Format] [Windows New Executable]                                                                                                                                                                                                                              
archive/xz                                , "fmt/1098"                                                                                                          [XZ File Format]                                                                                                                                                                                                                                                   
archive/yEnc                              , "fmt/1100"                                                                                                          [yEnc Encoded File]                                                                                                                                                                                                                                                
archive/xpk                               , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
archive/windowsThumbDB                    , "fmt/682"                                                                                                           [Thumbs DB file (XP)]                                                                                                                                                                                                                                              
archive/wim                               , "fmt/614"                                                                                                           [Windows Imaging Format]                                                                                                                                                                                                                                           
archive/uue                               , "fmt/1102"                                                                                                          [Uuencoded File]                                                                                                                                                                                                                                                   
archive/turboPacker                       , "x-fmt/102"                                                                                                         [3D Studio Shapes]                                                                                                                                                                                                                                                 
archive/tscomp                            , "x-fmt/425"                                                                                                         [Generic Library File]                                                                                                                                                                                                                                             
archive/tar                               , "x-fmt/265"                                                                                                         [Tape Archive Format]                                                                                                                                                                                                                                              
archive/swfEXE                            , "fmt/899"                                                                                                           [Windows Portable Executable (32 bit)]                                                                                                                                                                                                                             
archive/swf                               , "fmt/107", "fmt/108", "fmt/109", "fmt/110", "fmt/505", "fmt/506", "fmt/507"                                         [Macromedia Flash (4)] [Macromedia Flash (5)] [Macromedia Flash (6)] [Macromedia Flash (7)] [Adobe Flash (8)] [Adobe Flash (9)] [Adobe Flash (10)]                                                                                                                 
archive/sit                               , "fmt/1460"                                                                                                          [Stuffit Archive File (1.6-4.5)]                                                                                                                                                                                                                                   
archive/sevenZip                          , "fmt/484"                                                                                                           [7Zip format]                                                                                                                                                                                                                                                      
archive/shar                              , "fmt/329"                                                                                                           [Shell Archive Format]                                                                                                                                                                                                                                             
archive/rsrc                              , "fmt/134", "fmt/503"                                                                                                [MPEG 1/2 Audio Layer 3] [AppleDouble Resource Fork (2)]                                                                                                                                                                                                           
archive/rpm                               , "fmt/795"                                                                                                           [RPM Package Manager file (3)]                                                                                                                                                                                                                                     
archive/rawPartition                      , "fmt/468", "fmt/1087", "fmt/1105"                                                                                   [ISO Disk Image File] [FAT Disk Image] [Hierarchical File System]                                                                                                                                                                                                  
archive/rar                               , "x-fmt/264", "fmt/411", "fmt/613"                                                                                   [RAR Archive (2.0)] [RAR Archive (2.9)] [RAR Archive (5.0)]                                                                                                                                                                                                        
archive/powerPlayerMusicCruncher          , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
archive/powerPack                         , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
archive/peaZip                            , "fmt/1095"                                                                                                          [PEA Archive Format]                                                                                                                                                                                                                                               
archive/pc64                              , "fmt/823"                                                                                                           [P00 C64 Image Format]                                                                                                                                                                                                                                             
archive/paintShopProBrowserCache          , "fmt/217"                                                                                                           [PaintShop Pro Browser Cache File]                                                                                                                                                                                                                                 
archive/packIt                            , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
archive/packIce                           , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
archive/msCompress                        , "fmt/462", "fmt/469"                                                                                                [MS DOS Compression format] [MS DOS Compression format (KWAJ variant)]                                                                                                                                                                                             
archive/mpo                               , "x-fmt/391"                                                                                                         [Exchangeable Image File Format (Compressed) (2.2)]                                                                                                                                                                                                                
archive/mbox                              , "fmt/950"                                                                                                           [MIME Email (1.0)]                                                                                                                                                                                                                                                 
archive/macromediaDirector                , "fmt/317", "x-fmt/341", "fmt/486"                                                                                   [Macromedia Director (Macintosh)] [Macromedia Director (PC)] [Macromedia (Adobe) Director Compressed Resource file]                                                                                                                                                
archive/macBinary                         , "x-fmt/225"                                                                                                         [ESRI MapInfo Data File]                                                                                                                                                                                                                                           
archive/lha                               , "x-fmt/409", "x-fmt/410", "fmt/626"                                                                                 [MS-DOS Executable] [Windows New Executable] [LHA File Format]                                                                                                                                                                                                     
archive/kra                               , "fmt/999"                                                                                                           [Krita Document Format]                                                                                                                                                                                                                                            
archive/iso                               , "fmt/468", "fmt/1069"                                                                                               [ISO Disk Image File] [Cue Sheet]                                                                                                                                                                                                                                  
archive/installShieldZ                    , "x-fmt/425"                                                                                                         [Generic Library File]                                                                                                                                                                                                                                             
archive/installShieldInstallerArchive     , "fmt/1466"                                                                                                          [InstallShield Executable]                                                                                                                                                                                                                                         
archive/hypercard                         , "fmt/1490"                                                                                                          [HyperCard Stack]                                                                                                                                                                                                                                                  
archive/gz                                , "x-fmt/266"                                                                                                         [GZIP Format]                                                                                                                                                                                                                                                      
archive/freeArc                           , "fmt/1096"                                                                                                          [FreeArc Archive Format]                                                                                                                                                                                                                                           
archive/fileImploder                      , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
archive/epocMBM                           , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
archive/dmg                               , "fmt/1071"                                                                                                          [Apple Disk Image]                                                                                                                                                                                                                                                 
archive/diskImage                         , "fmt/1087"                                                                                                          [FAT Disk Image]                                                                                                                                                                                                                                                   
archive/diskDoubler                       , "fmt/1399"                                                                                                          [DiskDoubler]                                                                                                                                                                                                                                                      
archive/cso                               , "fmt/1488"                                                                                                          [Phantom CINE Video File]                                                                                                                                                                                                                                          
archive/commodoreTapeImage                , "fmt/820"                                                                                                           [T64 Tape Image Format]                                                                                                                                                                                                                                            
archive/commodoreDiskImage                , "fmt/821"                                                                                                           [G64 GCR-encoded Disk Image Format]                                                                                                                                                                                                                                
archive/cdi                               , "fmt/1069"                                                                                                          [Cue Sheet]                                                                                                                                                                                                                                                        
