>>> abydos (Linux - v0.2.1 - July 11, 2020) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
                PACK_PFH0                                                                                    pack                                                                                                             Shogun 2
                PACK_PFH3                                                                                    pack                                                                                                             Total War: Shogun 2
                PACK_PFH5                                                                                    pack                                                                                                             A Total War Saga: Troy
                PACK_SFGP                                                                                    pack                                                                                                             Weird Park
                 PACK_SFP                                                                                    pack                                                                                                             Alex Hunter: Lord of the Mind, Mystery Masters: Psycho Train Deluxe Edition, Sacra Terra: Kiss of Death, Snark Busters, Snark Busters 2, Snark Busters 3, The Esoterica: Hollow Earth, Weird Park 2, Weird Park 3
             PACKAGE_DBPF     The Sims 2 Package                                                             package                                                                                                          The Sims 2
           PACKAGE_DBPF_2                                                                                    package, world                                                                                                   The Sims 3, The Sims 4
              PACKED_BFPK                                                                                    packed                                                                                                           Raiders of the Broken Planet
              PACKED_POZI                                                                                    packed                                                                                                           American McGees Scrapland, Clive Barkers Jericho
                 PACKFILE                                                                                    packfile                                                                                                         Red Faction 2
                      PAD                                                                                    pad                                                                                                              Microsoft Casino
                      PAF                                                                                    paf                                                                                                              AFL 99
             PAF_UNDEFIND                                                                                    paf                                                                                                              WRC 7
                    PAGES                                                                                    pages                                                                                                            The Evil Within
                      PAK                                                                                    pak                                                                                                              Railroad Tycoon 2
                   PAK_10                                                                                    pak, wad                                                                                                         Genocide
                   PAK_11                                                                                    pak                                                                                                              Mech Commander, Mech Commander Gold, Mech Commander 2
                   PAK_12                                                                                    pak                                                                                                              Paradoxion
                   PAK_13                                                                                    pak                                                                                                              Airbourne Troops
                   PAK_14                                                                                    pak                                                                                                              Kyrandia, Lands Of Lore
                   PAK_15                                                                                    pak                                                                                                              Star Wars Episode 3
                   PAK_16                                                                                    pak                                                                                                              Restricted Area
                   PAK_17                                                                                    pak                                                                                                              Dungeon Lords
                   PAK_18                                                                                    pak                                                                                                              Neocron, Neocron 2
                   PAK_19                                                                                    pak                                                                                                              Dead To Right 2
                    PAK_2                                                                                    pak                                                                                                              Dune 2, Eye of the Beholder
                   PAK_20                                                                                    pak                                                                                                              The Movies
                 PAK_2004                                                                                    pak                                                                                                              Survival Project
                   PAK_21                                                                                    pak                                                                                                              Tomb Raider Chronicles
                   PAK_22                                                                                    pak                                                                                                              Delaware St John - Volume 1
                   PAK_23                                                                                    pak                                                                                                              Dead To Rights 2
                   PAK_24                                                                                    pak                                                                                                              True Crime 2
                   PAK_25                                                                                    pak                                                                                                              Tycoon City: New York, Hospital Tycoon
                   PAK_26                                                                                    pak                                                                                                              Broken Sword 3: The Sleeping Dragon
                   PAK_27                                                                                    pak                                                                                                              MX vs ATV Unleashed, Cars
                   PAK_28                                                                                    pak                                                                                                              Astrogeddon
                   PAK_29                                                                                    pak                                                                                                              Re-Mission
                 PAK_2KAP                                                                                    pak                                                                                                              Williams Pinball Classics, The Tomb, Pinball Mania Plus
                    PAK_3                                                                                    pak                                                                                                              Arx Fatalis
                   PAK_30                                                                                    pak                                                                                                              Rush For The Bomb
                   PAK_31                                                                                    pak                                                                                                              Astonia 3
                   PAK_32                                                                                    pak                                                                                                              Astonia 3
                   PAK_33                                                                                    pak                                                                                                              Dracula Origin
                   PAK_34                                                                                    pak                                                                                                              Legend: Hand Of God
                   PAK_35                                                                                    pak                                                                                                              GTA4
                   PAK_36                                                                                    pak                                                                                                              The Tuttles Madcap Misadventures
                   PAK_37                                                                                    pak                                                                                                              Zak and Jack in Showdown at Monstertown
                   PAK_39                                                                                    pak                                                                                                              Demon Mark: A Russian Saga, Ragnarok Journey, Reckless Space Pirates
                    PAK_4                                                                                    pak                                                                                                              Far Cry
                   PAK_40                                                                                    pak                                                                                                              Who Wants To Be A Millionaire
                   PAK_41     PopCap PAK Archive (PAK_41)                                                    pak                                                                                                              Bejeweled 3, Beyond the Invisible: Darkness Came, Cooking Academy, Cooking Academy 2, Cooking Academy 3, Peggle Deluxe, Plants vs. Zombies, Zuma's Revenge
                   PAK_42                                                                                    pak                                                                                                              Gray Matter
                   PAK_43                                                                                    pak                                                                                                              Viking: Battle for Asgard
                   PAK_44     Node-Webkit Archive                                                            pak                                                                                                              15 Seconds, 80's Style, A Salem Witch Trial, Absoloot, Adva-lines, Airscape: The Fall of Gravity, Among the Dead, BalanCity, BLOK DROP NEO, Bloodbath Kavkaz, Brute, Bye-Bye, Wacky Planet, Camp Sunshine, Carnage in Space: Ignition, Cat Doesn't Like Banana, Cave Adventures, Crappy Day, Dangerous Skies: 80's Edition, Days Under Custody, Don't Tax Me, Bro!, Donut Hunter, Dragon Boar and Lady Rabbit, Dreaming Sarah, Evil Come, Fairyland: Blackberry Warrior, Fairyland: Chronicle, Fairyland: Power Dice, Frank the Miner, Freezeer, Fruit Crush, G-Dino's Jungle Adventure, Gardener The Ripper, Gone Fireflies, Grave Prosperity: Redux Part 1, Grimm & Tonic, Guinea-Pig, Happy Santa, Hellphobia, Hexopods, In The Fighting, Injured By Space, Inner Space, Invasion of Barbarians, Inverted, Last Fort, Leon's Crusade, Life Beetle, Liveza: Death of the Earth, Lost in the Forest, Lost with Dinosaurs, Lucky Panda, Magic and Challenge RPG, Megatronic Void, Mountain Troll, Murazu, My Personal Angel, NeonGalaxy Wars, Next Up Hero, Ochkarik, One Star, OneScreen Solar Sails, Pilferer, Pixel War, President Pig, Rainbow Rage Squad, Reflection of Mine, RKN: Roskomnadzor Banned the Internet, Samoliotik, Sentience: The Android's Tale, Slay.one, Sliver-Sclicker, Smart Mummy, Space Girls, Squeezone, SUPER ROBO MOUSE, The Last Vampire, The Lost Wizard, The Next Penelope, The Theodore Adventures, Thick Light, Uriel's Chasm 2, V Nekotorom Tsarstve, Weird Dungeon Explorer: Run Away, Weird Dungeon Explorer: Wave Beat, World of Tea, Wunderwaffe, ZAMBI 2 KIL
                   PAK_45                                                                                    pak                                                                                                              Chompy Chomp Chomp
                   PAK_46                                                                                    pak                                                                                                              Owen To Have Fun!, Weird Dungeon Explorer: Defender
                   PAK_47                                                                                    pak                                                                                                              The Book of Desires, Twilight City: Love as a Cure
                   PAK_48     Node-Webkit Archive                                                            pak                                                                                                              Wild Terra Online, Future Proof, Survive in Angaria TWO, Achievement Collector: Cat, Baikonur Space, Hello Pollution, Indecision, Kitty Run
                   PAK_49                                                                                    pak                                                                                                              Gazzel Quest, The Five Magic Stones
                    PAK_5                                                                                    pak                                                                                                              Zanzarah
                   PAK_50                                                                                    pak                                                                                                              PROJECT XINATRA
                   PAK_51                                                                                    pak                                                                                                              Star Wars: Episode 3: Revenge Of The Sith
                   PAK_52                                                                                    pak                                                                                                              Hob, Rebel Galaxy
                   PAK_53                                                                                    pak                                                                                                              You Green Elephant
                   PAK_54                                                                                    pak                                                                                                              Zuma's Revenge
                   PAK_55                                                                                    pak                                                                                                              Neon Brood, Psychical Madness, Spaceguy 2
                   PAK_56                                                                                    pak                                                                                                              Explodemon
                   PAK_57                                                                                    pak                                                                                                              Eye of the Beholder
                   PAK_58                                                                                    pak                                                                                                              Painkiller Resurrection
                   PAK_59                                                                                    pak                                                                                                              Fez
                    PAK_6                                                                                    pak                                                                                                              Carmageddon: TDR 2000
                   PAK_60                                                                                    pak                                                                                                              Praetorians
                   PAK_61                                                                                    pak                                                                                                              Pathway
                   PAK_62                                                                                    pak                                                                                                              Torchlight 2
                   PAK_63                                                                                    pak, dat                                                                                                         100% Orange Juice, Acceleration of SUGURI 2
                   PAK_67                                                                                    pak                                                                                                              Survivalist
                   PAK_68                                                                                    pak                                                                                                              Alien: Isolation
                   PAK_69                                                                                    pak                                                                                                              Crime Cities
                    PAK_7                                                                                    pak                                                                                                              Codename: Panzers, Codename: Panzers - Phase 2, S.W.I.N.E.
                   PAK_70                                                                                    pak                                                                                                              Fashion Apprentice
                   PAK_71                                                                                    pak                                                                                                              Dead to Rights 2, Pirates: Legend of the Black Buccaneer
                   PAK_72                                                                                    pak                                                                                                              Outrun 2006: Coast 2 Coast
                   PAK_73                                                                                    pak                                                                                                              Indiana Jones and the Emperors Tomb
                    PAK_8                                                                                    pak                                                                                                              Simcity 3000
                    PAK_9                                                                                    pak                                                                                                              Wari
                 PAK_DATA                                                                                    pak                                                                                                              King Of Fighters: Maximum Impact
                 PAK_DIVI                                                                                    pak                                                                                                              Motorhead
                 PAK_DOCP                                                                                    pak                                                                                                              Battlezone 2
                PAK_DONUT                                                                                    pak                                                                                                              Rebels: Prison Escape
                 PAK_DPAK                                                                                    pak                                                                                                              LEGO Creator Knights Kingdom
             PAK_EMPACKFI                                                                                    pak                                                                                                              Broken Sword 4: The Angel of Death
           PAK_EYEDENTITY                                                                                    pak, rfs                                                                                                         Dragon Nest
                PAK_FEPAK                                                                                    pak                                                                                                              Lagsters
                 PAK_FORM                                                                                    pak                                                                                                              Project Lucie
                 PAK_G3V0                                                                                    pak                                                                                                              Gothic 3
               PAK_G3V0_2                                                                                    pak                                                                                                              Risen
                 PAK_GBPK                                                                                    pak                                                                                                              Burger Shop
                 PAK_GRES                                                                                    pak                                                                                                              Ascension to the Throne
               PAK_HMMSYS                                                                                    pak                                                                                                              Rising Kingdoms, Imperivm: Great Battles of Rome
                 PAK_HROT                                                                                    pak                                                                                                              HROT
                 PAK_KAPF                                                                                    pak                                                                                                              Minority Report: Everybody Runs
                 PAK_KAPT                                                                                    pak                                                                                                              MorphX
                 PAK_KCAP                                                                                    pak                                                                                                              Spongebob Squarepants: Lights Camera Pants!
                 PAK_KPKA                                                                                    pak                                                                                                              Capcom Arcade Stadium
              PAK_MASSIVE                                                                                    pak                                                                                                              Spellforce
                 PAK_MCPK                                                                                    pak                                                                                                              Cities XL
                 PAK_MPAK                                                                                    pak                                                                                                              Viking: Battle for Asgard
                 PAK_P4CK                                                                                    pak                                                                                                              Second Sight
                 PAK_P5CK                                                                                    pak                                                                                                              TimeSplitters: Future Perfect
               PAK_P5CK_2                                                                                    pak                                                                                                              TimeSplitters: Future Perfect
                 PAK_PACK     Generic PAK Archive [PAK_PACK]                                                 pak                                                                                                              Conquest Of The New World, Gunman Chronicles, Half-Life, Hands Of Fate, Heretic 2, Hexen 2, Kingpin: Life of Crime, Quake, Quake 2, Search And Rescue 2, Search And Rescue 3, Skisprung Winter Cup 2005, Sin, Soldier of Fortune, Trickstyle
               PAK_PACK_2                                                                                    pak                                                                                                              Daikatana
               PAK_PACK_3                                                                                    pak                                                                                                              7 Sins
               PAK_PACK_4                                                                                    pak                                                                                                              Alpine Skiing 2006, Alpine Ski Racing 2007, Skispringen 2007
               PAK_PACK_5                                                                                    pak                                                                                                              Eador: Masters of the Broken World
               PAK_PACK_6     Enigma Virtual Box PAK                                                         pak                                                                                                              Enigma Virtual Box, Balacera Brothers, Blood Paws Unleashed
             PAK_PACKFILE                                                                                    pak                                                                                                              Light Of Altair
                  PAK_PAK                                                                                    pak                                                                                                              Pacific Warrior 2: Dogfight
                PAK_PAK_2                                                                                    pak                                                                                                              The Club
                PAK_PAK_3                                                                                    pak                                                                                                              Eschalon: Book 1
                PAK_PAK_4                                                                                    pak                                                                                                              Sonic Adventure 2
                PAK_PAK_5                                                                                    pak                                                                                                              SpellForce 2: Shadow Wars
                PAK_PAK_6                                                                                    pak                                                                                                              Evoland, Evoland 2
                PAK_PAK_7                                                                                    pak                                                                                                              James Cameron's Avatar - The Game
                 PAK_PAK2                                                                                    pak                                                                                                              Alien: Isolation, Viking: Battle for Asgard
                 PAK_PAKC                                                                                    pak                                                                                                              Commandos: Strike Force
               PAK_PAKV11                                                                                    pak                                                                                                              Crimsonland, JYDGE, King Oddball
                 PAK_PKLE                                                                                    pak                                                                                                              Ion Assault
                PAK_SBPAK                                                                                    pak                                                                                                              ArcaniA: Gothic 4, Giana Sisters: Twisted Dreams: Rise of the Owlverlord, Helldorado
                 PAK_SGMF                                                                                    pak                                                                                                              A.I.M.2: Clan Wars
                PAK_SPARK                                                                                    pak                                                                                                              Call Of Duty: Finest Hour
                 PAK_TATE                                                                                    pak                                                                                                              Kao the Kangaroo: Round 2
                  PAK_TEX                                                                                    pak                                                                                                              Sacred
             PAK_TMSAMVOH                                                                                    pak                                                                                                              3D Ultra Minigolf Adventures, Airport Tycoon 3, Blowout, Crusades: Quest For Power, Daemonica, Mob Enforcer, Mystery Case Files: Prime Suspects, Mystery Case Files: Ravenhearst, Republic: The Revolution, Sprint Cars: Road To Knoxville
           PAK_TMSAMVOH_2                                                                                    pak                                                                                                              3D Ultra Minigolf Adventures
             PAK_WINGSPAK                                                                                    pak                                                                                                              Soldner: Secret Wars
                  PAK_XV4                                                                                    pak                                                                                                              Trials 2: Second Edition
                  PAK_ZV4                                                                                    pak                                                                                                              LEGO City Undercover, LEGO Harry Potter: Years 1-4, LEGO Harry Potter: Years 5-7, LEGO Indiana Jones 2: The Adventure Continues, LEGO Marvel Super Heroes, The LEGO Movie Videogame
                  PAL_LAP                                                                                    pal                                                                                                              Hitman: Codename 47
                  PAQ_PAQ                                                                                    paq                                                                                                              Crimsonland, Crimsonland Classic
                 PAQ_UBO1                                                                                    paq                                                                                                              Ultimate Baseball Online
                  PAR_PAR                                                                                    par                                                                                                              RC Simulator
                 PAR_PARC                                                                                    par                                                                                                              Binary Domain
               PARTIMAGES                                                                                    partimages                                                                                                       Evolution GT
                      PAZ                                                                                    paz                                                                                                              Black Desert Online
                      PBN                                                                                    pbn                                                                                                              Mercenary Kings
                      PBO                                                                                    pbo                                                                                                              ArmA: Cold War Assault, Operation Flashpoint
                 PBO_SREV                                                                                    pbo                                                                                                              ArmA, ArmA 2, Arma 3, Argo
                  PBP_PBP                                                                                    pbp                                                                                                              PlayStation Portable Firmware
                       PC                                                                                    pc                                                                                                               Evil Dead
                     PC_2                                                                                    pc                                                                                                               Bad Boys 2
                  PC_BOLB                                                                                    pc                                                                                                               Masquerade: The Baubles of Doom
               PC_WAV_ARC                                                                                    pc_wav_arc                                                                                                       Evil Dead
                    PCDAT                                                                                    dat                                                                                                              Conflict: Denied Ops, Conflict: Desert Storm, The Great Escape
              PCFSBM_MBSF                                                                                    pc_fsbm                                                                                                          Deus Ex: Mankind Divided
                      PCG                                                                                    pcg                                                                                                              Ford Racing 3
                      PCK                                                                                    pck                                                                                                              Darkwatch
                 PCK_0KCP                                                                                    pck                                                                                                              WWII Tank Commander
                    PCK_2                                                                                    pck                                                                                                              Fallout Tactics
                    PCK_3                                                                                    pck                                                                                                              Shihiki Shiki
                    PCK_4                                                                                    pck                                                                                                              Commandos 2: Men of Courage, Commandos 3: Destination Berlin
                    PCK_5                                                                                    pck                                                                                                              Broken Age
                    PCK_6                                                                                    pck                                                                                                              Push Push Penguin
                 PCK_AKPK                                                                                    pck                                                                                                              APB Reloaded, Bioshock Infinite, Borderlands: The Pre-Sequel, Borderlands 2, Darksiders 2, Middle Earth: Shadow Of Mordor, Resident Evil 2
               PCK_AKPK_2                                                                                    pck                                                                                                              Borderlands: The Pre-Sequel, Borderlands 2, Dirty Bomb, Gwent
               PCK_AKPK_3                                                                                    pck                                                                                                              Warhammer 40,000 Space Marine
               PCK_AKPK_4                                                                                    pck                                                                                                              Hardspace: Shipbreaker
               PCK_AKPK_5                                                                                    pck                                                                                                              Doom Eternal
               PCK_AKPK_6                                                                                    pck                                                                                                              Dishonored
                 PCK_AZPK                                                                                    pck                                                                                                              Create
                 PCK_GDPC                                                                                    pck                                                                                                              Rogue Rocks, Lumencraft, Martial Law
               PCK_GDPC_2                                                                                    pck                                                                                                              Buckshot Roulette
                 PCK_PACK                                                                                    pck                                                                                                              Le Mans 24 Hours, Test Drive Le Mans
